id	COG	KEGG_KOs	ann_egg
GL50803_16973	S		whole genome shotgun sequence
GL50803_115572	T	K08857	protein kinase
GL50803_135886	G	K14634,K15634	phosphoglycerate mutase
GL50803_10911	M	K15502,K15503	Ankyrin Repeat Protein
GL50803_10908			
GL50803_15313	J	K01855	tRNA pseudouridine synthase
GL50803_16979	S	K07916,K07918,K07923,K07976	member RAS oncogene
GL50803_10893	S	K08052	forebrain astrocyte differentiation
GL50803_15310	S	K08738	Positively regulates the activity of the minus-end directed microtubule motor protein dynein. May enhance dynein- mediated microtubule sliding by targeting dynein to the microtubule plus end. Required for
GL50803_34126	V		Mate efflux family protein
GL50803_25011	A	K07951,K12831	Splicing factor 3B subunit 4
GL50803_16975	B	K03164	Control of topological states of DNA by transient breakage and subsequent rejoining of DNA strands. Topoisomerase II makes double-strand breaks (By similarity)
GL50803_7706	S		Sulfite exporter TauE/SafE
GL50803_135885	G	K14634,K15634	phosphoglycerate mutase
GL50803_115571	T	K08857	protein kinase
GL50803_1695	U	K07904	ras-related protein
GL50803_137703	M		Ankyrin Repeat Protein
GL50803_137702	T	K08819	Cyclin-Dependent Kinase
GL50803_111987	E		Ankyrin Repeat
GL50803_4313	O	K07762,K08647	whole genome shotgun sequence
GL50803_34713	T	K08863,K15502,K15503	NIMA-related kinase
GL50803_14897	T	K05661,K08857,K15502,K15503	NIMA-related kinase
GL50803_23492	E	K09257	Ankyrin Repeat
GL50803_9196	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_14895	S	K08254,K12472	oligomeric mucus gel-forming
GL50803_9194	L	K02212	dna replication licensing factor
GL50803_17536			
GL50803_23496	K	K02999	dna-directed RNA polymerase
GL50803_17538	A	K11583	Protein phosphatase 2, regulatory subunit B
GL50803_14874			
GL50803_9119	L	K14777,K14807,K20096	DEAD (Asp-Glu-Ala-Asp) box polypeptide
GL50803_9117	T	K04739	protein kinase, cAMP-dependent, regulatory, type
GL50803_9116	T	K00870,K03083	Glycogen synthase kinase
GL50803_9115	G	K01810	glucose-6-phosphate isomerase
GL50803_14872	M	K15502,K15503	Ankyrin Repeat Protein
GL50803_17539	A	K12820	atp-dependent rna helicase
GL50803_14869	J	K02896	Ribosome biogenesis protein
GL50803_17540	S		At rich interactive domain
GL50803_17541	B		WD repeat domain 17
GL50803_11190	A		HAT
GL50803_15364	S		Inherit from NOG: surface protein
GL50803_111967	M	K15502,K15503	Ankyrin Repeat Protein
GL50803_11186	K	K12885	RNA binding motif protein
GL50803_17543	S		zinc finger, MYND-type containing 10
GL50803_11676	B, K	K11121,K11412	DeAcetylase
GL50803_15469	O	K12196	endosome to lysosome transport via multivesicular body sorting pathway
GL50803_40390		K18626	
GL50803_15472	U	K12197	Charged multivesicular body protein 1a
GL50803_11690			
GL50803_11692	S		basal body component
GL50803_15475	T	K13975	protein kinase kinase kinase
GL50803_15476	M		Ankyrin Repeat Protein
GL50803_15477	S		copine family
GL50803_15479	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_17547	J	K02930	Ribosomal protein
GL50803_111950	Z	K10408,K10413,K10414	heavy chain
GL50803_9237	K	K13423,K13424,K18835	transcription factor
GL50803_9239	S		dinuclear metal center protein, YbgI
GL50803_115742	O	K01359	proprotein convertase subtilisin kexin type
GL50803_50100			
GL50803_9665	T	K00870	NIMA-related kinase
GL50803_137706	S	K08857	forebrain astrocyte differentiation
GL50803_101994	S		Zinc finger protein
GL50803_9662	C	K00176	Ferredoxin
GL50803_9659	S	K07604	M protein repeat protein
GL50803_9658	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_4558	F	K00893,K00904	thymidine kinase 2, mitochondrial
GL50803_13652	T	K13448	Calcium binding protein
GL50803_50101	O	K01359	proprotein convertase subtilisin kexin type
GL50803_50102			
GL50803_4264	M		Ankyrin Repeat Protein
GL50803_24321	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_41467	B, K		ankyrin repeat, family A (RFXANK-like), 2
GL50803_33862	J	K02951	40s ribosomal protein s12
GL50803_8722	K	K09420	Myblike DNAbinding domain containing protein
GL50803_8731	O	K10666	Ring finger protein
GL50803_8733	S		WNT inhibitory factor 1
GL50803_16792	T	K00870	NIMA-related kinase
GL50803_16793	S		AHNAK nucleoprotein
GL50803_1649	O	K17292	Tubulin binding cofactor A
GL50803_16794	S		Coiled-coil domain-containing protein
GL50803_16795	O	K12196	endosome to lysosome transport via multivesicular body sorting pathway
GL50803_3706	L	K02325	DNA polymerases epsilon N terminal
GL50803_16796	T	K08851,K09140	TP53 regulating kinase
GL50803_92892	L	K03424	TatD related DNase
GL50803_114535	T	K01104,K10645	serine threonine-protein kinase
GL50803_21498	S		Histone-lysine N-methyltransferase
GL50803_6680	S	K08052	forebrain astrocyte differentiation
GL50803_6687	G	K00134	Glyceraldehyde-3-phosphate dehydrogenase, type I
GL50803_6691	I		acyl-coa binding
GL50803_21502	K	K03128,K11721	bromodomain containing
GL50803_3157	O		Inherit from KOG: GLutaRedoXin
GL50803_3154	U	K12946	signal peptidase
GL50803_17531			
GL50803_7896	O	K03038,K08825,K14808	26s proteasome regulatory subunit
GL50803_7890	L	K10779,K10875	RAD54-like 2 (S. cerevisiae)
GL50803_14578	T	K08819	Cyclin-Dependent Kinase
GL50803_21505	M		Ankyrin Repeat Protein
GL50803_94003	S	K02599	Notch ligand involved in the mediation of Notch signaling (By similarity)
GL50803_15987	I	K13510,K13512	Lysophosphatidylcholine acyltransferase
GL50803_101904	T		serine threonine-protein phosphatase
GL50803_21512	Q	K19306	williams Beuren syndrome chromosome region
GL50803_101906	O	K12196	endosome to lysosome transport via multivesicular body sorting pathway
GL50803_d113284	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_42657	T		ribosomal protein s6
GL50803_103094	E	K09257	Ankyrin Repeat
GL50803_4789	S	K16810	TBCC domain containing 1
GL50803_16161	Z		Kinesin family member
GL50803_4365	O	K03065	26S protease regulatory subunit
GL50803_5522	A	K12828	Inherit from saccNOG: splicing factor
GL50803_5517	J	K02921,K14566	Ribosomal protein
GL50803_96580	S	K12478	early endosome antigen 1
GL50803_13412	A	K14815	mrna turnover protein
GL50803_96570	S	K19851	Flo11 domain
GL50803_6650	M		Ankyrin Repeat Protein
GL50803_96562	S	K20003	zinc finger
GL50803_16630	L	K03546	SMC domain protein
GL50803_8118	J	K02981,K02988	Ribosomal protein
GL50803_14641	B, K	K11422,K14553	UTP18, small subunit (SSU) processome component, homolog (yeast)
GL50803_102662			
GL50803_96537	L	K14810	atp-dependent rna helicase
GL50803_8140	S		BBOX
GL50803_6226	G	K00688	Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties (By similarity)
GL50803_102654	U		Golgin A4
GL50803_16623	L	K03574	Nudix hydrolase
GL50803_16622			
GL50803_30354	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_d14331	S		VSP with INR
GL50803_14331	S		VSP with INR
GL50803_114773	O	K01365	cathepsin
GL50803_137690	A	K13181	DEAD (Asp-Glu-Ala-Asp) box polypeptide 27
GL50803_16322	S	K06252	WNT inhibitory factor 1
GL50803_16321	O		domain containing E3 ubiquitin protein ligase
GL50803_940	S		member RAS oncogene family
GL50803_5820	B, K	K14964	set1 Ash2 histone methyltransferase complex subunit
GL50803_32676	E	K06653	Ankyrin Repeat
GL50803_7236	P	K14609,K14610	Solute carrier family 19
GL50803_7231	K	K08065	Nuclear transcription factor Y subunit
GL50803_7230	S		AHNAK nucleoprotein
GL50803_17192	U		ADP-ribosylation factor guanine nucleotide-exchange factor
GL50803_3256	F	K12471	Clathrin interactor 1
GL50803_17193	O		NHL repeat containing
GL50803_13943	J	K03237	eukaryotic translation initiation factor 2
GL50803_13941	E	K04486	histidinol phosphate phosphatase, hisj family
GL50803_17195	S	K12608,K20069	NECAP endocytosis associated
GL50803_1995	O	K02736,K05542	The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)
GL50803_103676	Z	K07374	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
GL50803_15377	E		Zinc carboxypeptidase
GL50803_11220	U	K08492	Syntaxin 18
GL50803_39587	J	K03240	Translation initiation factor eIF-2B
GL50803_17198	T		receptor protein kinase TMK1-like
GL50803_17199	J	K15335	NOP2 Sun domain family member
GL50803_11214	T	K04345,K07376,K19584	CAMP-dependent protein kinase, catalytic subunit
GL50803_93938	G	K01803	Triose-phosphate isomerase
GL50803_92645	F		5'-nucleotidase
GL50803_11209	O	K01365	cathepsin
GL50803_11207	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_60401			
GL50803_11204	G	K19944	GTPase Activating protein
GL50803_15368	O	K07767	katanin p60
GL50803_17203	S		N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits
GL50803_92618	H	K06210	(Nicotinamide) nucleotide adenylyltransferase
GL50803_17205	F		5'-nucleotidase
GL50803_16460	S	K08857	forebrain astrocyte differentiation
GL50803_92602	Z	K10352,K18669	myosin, heavy chain
GL50803_14905	K	K15731	CTD (Carboxy-terminal domain, RNA polymerase II, polypeptide A) small
GL50803_5593	J	K02868	ribosomal protein l11
GL50803_5171	M	K15502,K15503	Ankyrin Repeat Protein
GL50803_121046	B	K11252	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
GL50803_16699			
GL50803_121045	B	K11252	Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
GL50803_102978	E	K07432,K07441,K20045	UDP-N-acetylglucosamine transferase subunit ALG13
GL50803_5180	O	K07305	methionine sulfoxide reductase
GL50803_92673	L	K11136,K11273	regulator of telomere elongation helicase 1
GL50803_4430			
GL50803_92664	S	K08254,K12472	oligomeric mucus gel-forming
GL50803_92663	S		DNA polymerase
GL50803_16687	S		FYVE zinc finger
GL50803_16686		K10352	
GL50803_137688	S		DNA polymerase
GL50803_60434	T		Ribosomal protein S6
GL50803_15906	O		Tubulin folding cofactor C
GL50803_86681	J	K01885,K03027,K14163	synthetase
GL50803_86683	O	K03061	26S protease regulatory subunit
GL50803_9173	S		Inherit from NOG: WD40
GL50803_9174	U	K13280	Catalytic component of the signal peptidase complex (SPC), which catalyzes the cleavage of N-terminal signal sequences of proteins targeted to the endoplasmic reticulum. Signal peptide cleavage occurs during the translocation (cotranslationally or post-translationally) through the translocon pore into the endoplasmic reticulum (By similarity)
GL50803_9184	B, L	K10751	Chromatin assembly complex protein
GL50803_16318	S	K02599	WNT inhibitory factor 1
GL50803_137617	S		VSP with INR
GL50803_115158	S		regulation of RNA biosynthetic process
GL50803_137685	O	K07151,K11593	STT3, subunit of the oligosaccharyltransferase complex, homolog
GL50803_115159	T		phospholipase B domain containing
GL50803_7552	Y	K14306	Nsp1-like C-terminal region
GL50803_14480	E	K06653	Ankyrin Repeat
GL50803_7556	I	K01078,K14395	acid PHOsphatase
GL50803_14481	S	K18156	EF-hand calcium binding domain 10
GL50803_7562	S		small GTPase mediated signal transduction
GL50803_16342		K17785	
GL50803_16343	S	K03406,K10352	Laminin alpha 1
GL50803_13075	L	K07466	Replication factor-A protein 1, N-terminal domain
GL50803_25816	O	K07762,K08647	whole genome shotgun sequence
GL50803_101278			
GL50803_16279	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_4017	S	K19752	motile cilium assembly
GL50803_95003	T	K05661,K08857,K08863,K15503	NIMA-related kinase
GL50803_14101	E	K09257,K18410	Ankyrin Repeat
GL50803_14100	M		Ankyrin Repeat Protein
GL50803_16283	E	K14995	Solute carrier family 38 member
GL50803_14098	A	K14776	ATPdependent RNA helicase
GL50803_40496	Z	K10408	heavy chain
GL50803_101291	Z	K07375	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
GL50803_16766	J	K04567	lysyl-trna synthetase
GL50803_137684	S		Ankyrin Repeat
GL50803_16765	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_6211	J	K14774	Digestive organ expansion factor homolog (Zebrafish)
GL50803_137672	S		VSP with INR
GL50803_136020	Z	K07375	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
GL50803_15832	E	K01270	Clan MH, family M20, peptidase T-like metallopeptidase
GL50803_136021	Z	K07375	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain (By similarity)
GL50803_16768			
GL50803_21082	I	K15013	Acyl-CoA synthetase long-chain family member
GL50803_50116	S		FU
GL50803_1908	M		Zinc finger, DHHC-type containing
GL50803_13809	S		Testis expressed 9
GL50803_5013	S		methyltransferase like 13
GL50803_5010	T	K04382	serine threonine-protein phosphatase
GL50803_16479	T	K05661,K08857,K15502,K15503	NIMA-related kinase
GL50803_21444	U		Uso1 / p115 like vesicle tethering protein, head region
GL50803_2419	S	K10732	DNA replication complex GINS protein
GL50803_2421	T		receptor-like protein kinase
GL50803_16483	H	K00859	Dephospho-CoA kinase
GL50803_4946	O	K07304	methionine sulfoxide reductase
GL50803_111732	S		VSP with INR
GL50803_113531	S	K02599	WNT inhibitory factor 1
GL50803_5144	T	K00870,K04427	protein kinase kinase kinase
GL50803_5142	T	K08867,K14242	mitogen-activated protein kinase kinase kinase
GL50803_7760	O	K12160	smt3 suppressor of mif two 3 homolog
GL50803_90665	S		Mediates binding to human platelets, possibly through a receptor-ligand interaction. Probably associated with virulence in endovascular infection (By similarity)
GL50803_14534	B		Inherit from KOG: Apoptotic chromatin condensation inducer 1
GL50803_7766	J	K02998	Required for the assembly and or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits
GL50803_14539	S		Ankyrin Repeat
GL50803_16716	S		FU
GL50803_16717	S		START domain
GL50803_16718	A	K11884	Rna-binding protein
GL50803_98056	J	K02880	60s ribosomal protein
GL50803_15026	A	K14549	UTP15, U3 small nucleolar ribonucleoprotein, homolog (S. cerevisiae)
GL50803_9741	E, J	K06158,K06185	elongation factor 3
GL50803_25238	T	K02599	EGF-like domain
GL50803_16720	S	K19756	cilium axoneme assembly
GL50803_15030	S	K20032	ankyrin repeat domain
GL50803_9750	Z	K10352	myosin, heavy chain 14, non-muscle
GL50803_9751	O		Inherit from euNOG: chaperone protein DNAJ
GL50803_16721	S	K02583	TNFR/NGFR cysteine-rich region
GL50803_42000	S		Inherit from NOG: WD repeat domain 52
GL50803_6731	T	K08863	NIMA-related kinase
GL50803_6733	M		Zinc finger, DHHC-type containing
GL50803_6735	U	K16578	cytoplasmic linker associated protein
GL50803_14285	C	K00027,K00029	Malic enzyme
GL50803_88888	S		serine arginine repetitive matrix 5
GL50803_6744	T	K10840,K16465	centrin, EF-hand protein
GL50803_16648	S		Inherit from euNOG: membrane associated protein
GL50803_1345	J	K02865,K04532	ribosomal protein
GL50803_32531	A	K12834	PHD finger protein 5A
GL50803_6524	O	K10578,K14965	ubiquitin-conjugating enzyme
GL50803_16650	Z	K10395	Kinesin family member
GL50803_6530	E	K06653,K09257,K14508,K19626	Ankyrin Repeat
GL50803_6531	J	K00773	Exchanges the guanine residue with 7-aminomethyl-7- deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). After this exchange, a cyclopentendiol moiety is attached to the 7-aminomethyl group of 7-deazaguanine, resulting in the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)
GL50803_14238	S		Ankyrin Repeat
GL50803_16652	J	K02953	ribosomal protein s13
GL50803_13897	J	K07575	malignant T cell amplified sequence 1
GL50803_16653	V		Zinc finger, FYVE domain containing
GL50803_5345	V	K03327	Mate efflux family protein
GL50803_5346	S		forebrain astrocyte differentiation
GL50803_5347	K	K09420	Myblike DNAbinding domain containing protein
GL50803_16810	L	K03511	DNA polymerase kappa
GL50803_2527	Z	K10352,K17751	myosin, heavy chain
GL50803_16811	S		Inherit from NOG: Viral A-type inclusion protein
GL50803_16814			
GL50803_16815	S	K12386	PQ loop repeat
GL50803_16817	D	K13730	neuromuscular junction development
GL50803_16818	S	K06316,K16458	centrosomal protein 104kDa
GL50803_6288	O	K10685,K11293	ubiquitin-like modifier activating enzyme 2
GL50803_6289	O		Redoxin domain protein
GL50803_16819	T	K05661,K08857,K10645,K15503	NIMA-related kinase
GL50803_16820	E	K10645	Ankyrin Repeat
GL50803_3063			
GL50803_21048	S		chromosome X open reading frame 22
GL50803_13616	S	K14788	Nucleolar protein
GL50803_113038	S	K06252	WNT inhibitory factor 1
GL50803_16042	A	K14806	ATPdependent RNA helicase
GL50803_14993	G	K00850,K00895,K01412	Phosphofructokinase
GL50803_9594	S	K09560	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
GL50803_9593	S	K17302	coatomer protein complex, subunit beta 2 (beta prime)
GL50803_137681	O	K07762,K08647	whole genome shotgun sequence
GL50803_16064	J	K00974	TRNA nucleotidyltransferase
GL50803_6942			
GL50803_21110	S		chromosome 4 open reading frame 22
GL50803_14329	J	K02993,K02997,K11592	ribosomal protein S7
GL50803_6939	Z	K11143	Dynein, axonemal, intermediate chain 2
GL50803_16065	O		cell division cycle protein 48
GL50803_14328	S		PIH1 domain containing 3
GL50803_14327	A	K01158,K14850	ribosomal RNA processing 8, methyltransferase, homolog (yeast)
GL50803_14326	S	K16605	tubulin polyglutamylase complex subunit 2
GL50803_18713	A	K12621	Small nuclear ribonucleoprotein (LSM2)
GL50803_21116	T	K19603	mitogen-activated protein kinase 15
GL50803_9355	O		Redoxin domain protein
GL50803_9354	M		Ankyrin Repeat Protein
GL50803_9353	G	K01082,K01107	3'(2'), 5'-bisphosphate nucleotidase 1
GL50803_9352	A	K12854,K18663	small nuclear ribonucleoprotein
GL50803_21118	I		Acyl-CoA synthetase long-chain family member
GL50803_9349	S		Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1
GL50803_9348	J	K01886	Glutaminyl-trna synthetase
GL50803_137680	O	K01365	cathepsin
GL50803_50124	O	K07762,K08647	whole genome shotgun sequence
GL50803_16387	J	K02882	60s ribosomal protein
GL50803_100845			
GL50803_31530	H	K01950	NAD synthase
GL50803_12889	S		chromosome segregation ATPase-like protein
GL50803_112584	S		VSP with INR
GL50803_7778	S		Targeting protein for Xklp2 (TPX2)
GL50803_41512	S		EF-hand domain (C-terminal) containing
GL50803_14543	G	K10393	LMBR1 domain containing 2
GL50803_14544			
GL50803_14545	T	K01090	serine threonine-protein phosphatase
GL50803_14546	S	K01091,K06019	had-superfamily hydrolase, subfamily ia, variant
GL50803_14547	E	K01424,K13278	L-asparaginase
GL50803_7789	U	K07939,K07977	ADP-ribosylation
GL50803_7792	T		leucine rich repeat
GL50803_36426	S	K00671,K17257	integrin alpha FG-GAP repeat containing 1
GL50803_d103944	T	K00870,K04427	protein kinase kinase kinase
GL50803_113268	S	K02599	WNT inhibitory factor 1
GL50803_50127	S	K02599	WNT inhibitory factor 1
GL50803_41401	S		VSP with INR
GL50803_103944	T	K00870,K04427	protein kinase kinase kinase
GL50803_7195	E	K00266	Glutamate synthase
GL50803_7188	S		von Willebrand factor D and EGF
GL50803_17015	M	K15502	Ankyrin Repeat Protein
GL50803_17014	E		ATP GTP binding
GL50803_6175	C		nitroreductase
GL50803_6177	J	K07565	pre-rRNA processing and 60S ribosome subunit assembly (By similarity)
GL50803_113252	L	K08735,K08741,K19476	DNA mismatch repair protein
GL50803_17013	O	K00587	carboxyl methyltransferase
GL50803_27147	T, U		Inherit from KOG: unc-119 homolog
GL50803_13661	J	K03246	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)
GL50803_17011			
GL50803_3678	C	K02149,K17260	subunit D
GL50803_3677	T	K08805,K10645,K13412	calcium-dependent protein kinase
GL50803_113242	O	K07762,K08647	whole genome shotgun sequence
GL50803_12800	S		Leucine rich repeat protein
GL50803_15834	S		Chromosome 21 open reading frame 59
GL50803_13272	F	K01239,K11273	Inosineuridine preferring nucleoside hydrolase
GL50803_13273	Z	K10410	Dynein, axonemal, light intermediate chain 1
GL50803_16234	Z	K10433	microtubule-associated protein 7
GL50803_16235	T	K07198	serine threonine-protein kinase
GL50803_19003	J	K02896	Ribosomal protein L24e
GL50803_14119			
GL50803_6133	J	K02918	Ribosomal protein L35
GL50803_6135	J	K02962,K14807	40s ribosomal protein
GL50803_16237	S	K19754	coiled-coil domain containing 164
GL50803_6138	U, Y	K14297	Nuclear protein 96
GL50803_6139	U	K18716	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
GL50803_6140	T	K01104,K09257	serine threonine-protein kinase
GL50803_114626	S	K02599	WNT inhibitory factor 1
GL50803_114623	K		Chromosome 2 open reading frame 18
GL50803_15004	S		Flavodoxin-like fold
GL50803_15008	U		High cysteine membrane protein Group 1
GL50803_15009	C	K05916	Is involved in NO detoxification in an aerobic process, termed nitric oxide dioxygenase (NOD) reaction that utilizes O(2) and NAD(P)H to convert NO to nitrate, which protects the bacterium from various noxious nitrogen compounds. Therefore, plays a central role in the inducible response to nitrosative stress (By similarity)
GL50803_114617	U		High cysteine membrane protein Group 1
GL50803_137604	S		regulation of RNA biosynthetic process
GL50803_27326	L	K02320	DNA polymerase
GL50803_2116	S	K20027	Zinc finger, DHHC-type containing
GL50803_16044	J	K02891	Ribosomal protein
GL50803_60531	K		Chromosome 2 open reading frame 18
GL50803_21435	S	K15693	RING finger
GL50803_9143	S		Inherit from NOG: basal body component
GL50803_9145	L	K10730	DNA helicase
GL50803_91348	F	K03783	The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta- (deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate (By similarity)
GL50803_9148	S		outer dense fiber of sperm tails
GL50803_9155	O		whole genome shotgun sequence
GL50803_91334	E	K14242	Ankyrin Repeat
GL50803_17448	K	K03010,K03043,K16252	dna-directed rna polymerase
GL50803_17449	D, T	K07178	serine threonine-protein kinase rio1
GL50803_91354	S		whole genome shotgun sequence
GL50803_112519	E	K06653	Ankyrin Repeat
GL50803_112518	T		p21 protein (Cdc42 Rac)-activated kinase
GL50803_102444	B, K	K15503	ankyrin repeat, family A (RFXANK-like), 2
GL50803_17451	C	K03954,K10353	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex
GL50803_2323	J	K03256	tRNA methyltransferase 6 homolog (S. cerevisiae)
GL50803_21423	U	K12392	Adaptor-related protein complex
GL50803_13200	A		Pre-mRNA-splicing factor ATP-dependent RNA helicase
GL50803_32658	P	K01537,K05850	ATPase, Ca transporting, plasma membrane
GL50803_102438	P		ATPase, Ca transporting, plasma membrane
GL50803_9162	K	K15731,K17616	CTD (Carboxy-terminal domain, RNA polymerase II, polypeptide A) small
GL50803_137698	U	K14004	Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules. It also functions as a component of the nuclear pore complex (NPC). NPC components, collectively referred to as nucleoporins (NUPs), can play the role of both NPC structural components and of docking or interaction partners for transiently associated nuclear transport factors. Sec-13 is required for efficient mRNA export from the nucleus to the cytoplasm and for correct nuclear pore biogenesis and distribution (By similarity)
GL50803_97130	T	K08863,K09257	NIMA-related kinase
GL50803_17460	J	K03267	eukaryotic peptide chain release factor gtp-binding subunit
GL50803_13771	M	K03646,K03832	TonB family
GL50803_21411	Q	K05641	ATP-binding cassette sub-family A ABC1 member
GL50803_15239	B, D	K06268,K06676	Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes. The condensin complex probably introduces positive supercoils into relaxed DNA in the presence of type I topoisomerases and converts nicked DNA into positive knotted forms in the presence of type II topoisomerases (By similarity)
GL50803_137697	S		regulation of RNA biosynthetic process
GL50803_97219	A	K14563	rRNA 2'-O-methyltransferase fibrillarin
GL50803_17465	D	K06675	structural maintenance of chromosomes protein
GL50803_15232	E	K10645	Ankyrin Repeat
GL50803_32375	S		Inherit from NOG: WD repeat domain 67
GL50803_10530	C	K02155,K04345,K15542	16 kDa proteolipid subunit
GL50803_10529	S	K16531	Bardet-biedl syndrome 4
GL50803_29227	S		whole genome shotgun sequence
GL50803_10522	S		whole genome shotgun sequence
GL50803_10521	J	K01887	Arginyl-trna synthetase
GL50803_30476	I	K01897	Acyl-CoA synthetase long-chain family member
GL50803_2082	T	K05661,K08857,K15503	NIMA-related kinase
GL50803_26199	S		forebrain astrocyte differentiation
GL50803_8565	U		Inherit from KOG: Yip1 domain family member
GL50803_8564	S		Inherit from NOG: Viral A-type inclusion protein
GL50803_8559	C	K02155,K04345,K15542	16 kDa proteolipid subunit
GL50803_14730	B, K	K02976,K11251,K15212,K15260,K15261,K18470	family member
GL50803_8556	T	K08863,K15502,K15503	NIMA-related kinase
GL50803_5534	S		copine family
GL50803_5533	O	K11855	ubiquitin carboxyl-terminal hydrolase
GL50803_17472	S		Inherit from NOG: Viral A-type inclusion protein
GL50803_2947	S		Chitin binding Peritrophin-A domain
GL50803_13194	O	K01359	proprotein convertase subtilisin kexin type
GL50803_13156	J		ATP-dependent RNA helicase which is a subunit of the eIF4F complex involved in cap recognition and is required for mRNA binding to ribosome. In the current model of translation initiation, eIF4A unwinds RNA secondary structures in the 5'-UTR of mRNAs which is necessary to allow efficient binding of the small ribosomal subunit, and subsequent scanning for the initiator codon
GL50803_102023	M		Ankyrin Repeat Protein
GL50803_24590	M		Ankyrin Repeat Protein
GL50803_91127	L	K03424	TatD related DNase
GL50803_15587	T		serine threonine-protein kinase
GL50803_16915	S		ANK
GL50803_12139	S		Ankyrin Repeat
GL50803_16914	O	K06694,K20032	Ankyrin Repeat Protein
GL50803_137696	T		calcium-dependent protein kinase
GL50803_41626			
GL50803_137676	T	K10645	Neurofibromin 1
GL50803_114797	E	K09257	Ankyrin Repeat
GL50803_36315	V	K14165,K14819	Dual specificity phosphatase
GL50803_15581	S	K11684,K14830,K18272	PAK1 interacting protein 1
GL50803_12116	S		Pfam:LACT
GL50803_21792	O		RING
GL50803_114793			
GL50803_4959	T	K05661,K08857,K14242,K15503	NIMA-related kinase
GL50803_13787	S	K00670,K03789	N-alpha-acetyltransferase 30, NatC catalytic subunit
GL50803_4964	I	K00869,K15633	mevalonate kinase
GL50803_21799	E	K10645	Ankyrin Repeat
GL50803_15104	U	K12479	Sec1 family
GL50803_114787	U	K17091	annexin A1
GL50803_10055	K	K03027,K14163	DNA-directed RNA polymerases I and III
GL50803_17223	O	K19678	intraflagellar transport 80 homolog (Chlamydomonas)
GL50803_15106	U		Importin
GL50803_17224	U	K15296	attachment protein
GL50803_17227	V	K03327	Mate efflux family protein
GL50803_6757	V	K00698,K01440	pyrazinamidase nicotinamidase
